FILIAAL_NUM;DATUM;TIJDSTIP;KLANT_NUM;NASA_NUM;OMSCH;INHOUD_AANTAL;EENHEID;CE_AANTAL
2052;07/01/2014;12:14;85;13822;Verse scharreleieren M;10;stuk;1
2052;07/01/2014;12:14;85;105796;Les P Madelaine mais heel;800;gram;1
2052;07/01/2014;12:14;85;508672;Komkommer;1;stuk;1
2052;07/01/2014;12:14;85;526638;Zoete puntpaprika;2;stuk;1
2052;07/01/2014;12:14;85;527800;Cap Sork gerookte zalmfilet;200;gram;1
2052;07/01/2014;12:14;85;534666;Tonijn moot olijfolie;160;gram;1
2052;07/01/2014;12:14;85;570247;Mehrkorn;500;gram;1
2052;07/01/2014;12:14;85;586609;Trostomaten;5;stuk;1
2052;07/01/2014;12:14;85;589345;Zonnebloemenpitten roggebrood;500;gram;1
2052;07/01/2014;12:14;85;597702;Avocado;1;stuk;2
2052;07/01/2014;12:14;85;634287;Goudse belegen 30+ pl vvp;1;kilogram;1
2052;07/01/2014;12:14;85;644401;Voordeel verpakking veldsla;150;gram;1
2052;07/01/2014;12:14;85;788899;Stevig meergranen 800gr;800;gram;1
2052;07/01/2014;12:14;85;796815;Gebraden beenham vvm;1;kilogram;1
2052;07/01/2014;12:14;85;807602;hummus 200gram;200;gram;1
2052;07/01/2014;12:14;85;811656;chorizo;1;kilogram;1
2052;05/03/2014;19:58;83;623175;Italian flakes;100;gram;1
2052;05/03/2014;19:58;83;637123;Pizzassimo;400;gram;1
2052;05/03/2014;19:58;83;752361;Prosciutto Crudo;100;gram;1
2052;05/03/2014;19:58;83;803485;Pizzabodem naturel;500;gram;1
2052;05/03/2014;19:58;83;807745;3-in- 1 folie;15;meter;1
2052;13/03/2014;20:06;83;8977;Mienestjes;500;gram;1
2052;13/03/2014;20:06;83;21023;Knoflook;2;stuk;1
2052;13/03/2014;20:06;83;39814;Taug� voordeel;250;gram;1
2052;13/03/2014;20:06;83;88596;Paksoi;1;stuk;1
2052;13/03/2014;20:06;83;101806;Chicken flavour;60;gram;2
2052;13/03/2014;20:06;83;508015;Rietsuiker Carribean Gold 1000g;1;kilogram;1
2052;13/03/2014;20:06;83;508672;Komkommer;1;stuk;1
2052;13/03/2014;20:06;83;526612;Bosui;3;stuk;1
2052;13/03/2014;20:06;83;526615;Rode peper;2;stuk;1
2052;13/03/2014;20:06;83;526617;Verse gember;150;gram;1
2052;13/03/2014;20:06;83;527800;Cap Sork gerookte zalmfilet;200;gram;1
2052;13/03/2014;20:06;83;555634;Rucola;75;gram;1
2052;13/03/2014;20:06;83;561924;Witte wijnazijn;250;milliliter;1
2052;13/03/2014;20:06;83;602895;Bimi;200;gram;2
2052;13/03/2014;20:06;83;611760;Wokolie;500;milliliter;1
2052;13/03/2014;20:06;83;618729;Kroepoek;135;gram;1
2052;13/03/2014;20:06;83;795140;Muesli met fruit;750;gram;1
2052;13/03/2014;20:06;83;795315;Slurp  chardonnay;0,75;liter;1
2052;13/03/2014;20:06;83;797127;Wasabi Bollen;150;gram;1
2052;13/03/2014;20:06;83;800294;zalmfilet 295 gram;295;gram;2
2052;13/03/2014;20:06;83;809327;Noodlesoep sajoer lodeh;260;gram;1
2052;13/03/2014;20:06;83;813330;Rendang padang met pandan rijst;450;gram;1
